ticker,mktshare,ipo_date
002113.SZ,"118,400,000.00",2/8/2007
002114.SZ,"271,840,827.00",2/15/2007
002115.SZ,"410,688,000.00",2/15/2007
002116.SZ,"403,722,307.00",2/15/2007
002117.SZ,"363,806,414.00",3/2/2007
002118.SZ,"512,991,382.00",3/2/2007
002119.SZ,"206,200,000.00",3/2/2007
002120.SZ,"150,280,000.00",3/6/2007
002121.SZ,"476,093,000.00",3/6/2007
002122.SZ,"1,188,000,000.00",3/28/2007
002123.SZ,"861,595,025.00",3/28/2007
002124.SZ,"208,610,000.00",4/3/2007
002125.SZ,"161,843,991.00",4/3/2007
002126.SZ,"360,540,000.00",4/18/2007
002127.SZ,"446,458,902.00",4/18/2007
002128.SZ,"1,634,378,473.00",4/18/2007
002129.SZ,"2,296,260,159.00",4/20/2007
002130.SZ,"569,387,998.00",4/20/2007
002131.SZ,"1,174,273,350.00",4/27/2007
002132.SZ,"706,362,832.00",4/27/2007
002133.SZ,"774,144,175.00",4/27/2007
002134.SZ,"245,849,768.00",5/16/2007
002135.SZ,"748,600,000.00",5/30/2007
002136.SZ,"215,020,000.00",5/30/2007
002137.SZ,"461,270,000.00",6/13/2007
002138.SZ,"740,938,814.00",6/13/2007
002139.SZ,"244,262,068.00",6/29/2007
002140.SZ,"446,034,534.00",7/12/2007
002141.SZ,"181,888,000.00",7/20/2007
002142.SZ,"3,899,794,081.00",7/19/2007
002143.SZ,"1,106,146,365.00",7/20/2007
002144.SZ,"176,762,528.00",8/3/2007
002145.SZ,"535,645,192.00",8/3/2007
002146.SZ,"3,824,084,686.00",8/8/2007
002147.SZ,"258,521,810.00",8/8/2007
002148.SZ,"255,852,876.00",8/10/2007
002149.SZ,"174,630,000.00",8/10/2007
002150.SZ,"250,200,000.00",8/10/2007
002151.SZ,"293,709,494.00",8/13/2007
002152.SZ,"896,684,767.00",8/13/2007
002153.SZ,"309,120,000.00",8/13/2007
002154.SZ,"1,172,018,740.00",8/16/2007
002155.SZ,"1,131,864,036.00",8/16/2007
002156.SZ,"748,177,011.00",8/16/2007
002157.SZ,"604,956,568.00",8/17/2007
002158.SZ,"294,656,179.00",8/17/2007
002159.SZ,"138,666,666.00",8/17/2007
002160.SZ,"636,245,527.00",8/21/2007
002161.SZ,"739,757,400.00",8/21/2007
002162.SZ,"655,500,000.00",8/23/2007
002163.SZ,"803,550,000.00",8/23/2007
